model,fold,n_test,n_positive,n_negative,best_params,auc,average_precision,brier,accuracy_at_0.5,balanced_accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,mcc_at_0.5
Penalized logistic regression,1,39,26,13,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.4171597633136094,0.632071396730778,0.2876549646049633,0.5384615384615384,0.5384615384615384,0.7,0.5384615384615384,0.6086956521739131,0.07254762501100116
Random forest,1,39,26,13,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6331360946745562,0.806730138217556,0.21704115872888943,0.6666666666666666,0.5769230769230769,0.7096774193548387,0.8461538461538461,0.7719298245614035,0.17960530202677488
Gradient boosting,1,39,26,13,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.7218934911242604,0.852472684775809,0.19342983274368655,0.6923076923076923,0.576923076923077,0.7058823529411765,0.9230769230769231,0.8,0.2169304578186562
Support vector machine,1,39,26,13,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5,0.680496853811818,0.22672504245562303,0.717948717948718,0.5961538461538461,0.7142857142857143,0.9615384615384616,0.819672131147541,0.2988071523335984
Penalized logistic regression,2,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.5339506172839505,0.7028544950789422,0.2837899186023219,0.5641025641025641,0.5462962962962963,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.08618128166583654
Random forest,2,39,27,12,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",0.6203703703703703,0.8137395354613137,0.21201046300998327,0.6923076923076923,0.5462962962962963,0.7142857142857143,0.9259259259259259,0.8064516129032258,0.14085904245475275
Gradient boosting,2,39,27,12,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}",0.5061728395061729,0.7353832052870048,0.24401743428463923,0.6410256410256411,0.46296296296296297,0.6756756756756757,0.9259259259259259,0.78125,-0.1549968516584257
Support vector machine,2,39,27,12,"{""model__C"": 10.0, ""model__gamma"": ""scale""}",0.5833333333333333,0.8004061064980208,0.20961459709760893,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Penalized logistic regression,3,39,27,12,"{""model__C"": 0.01, ""model__penalty"": ""l1""}",0.5,0.6923076923076923,0.2449782560654672,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Random forest,3,39,27,12,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.4814814814814815,0.7144215654236759,0.26096802675016845,0.5897435897435898,0.44907407407407407,0.6666666666666666,0.8148148148148148,0.7333333333333333,-0.13028932666176193
Gradient boosting,3,39,27,12,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}",0.5277777777777778,0.7298036599507258,0.24445994431257148,0.6923076923076923,0.5925925925925926,0.7419354838709677,0.8518518518518519,0.7931034482758621,0.21166687833365083
Support vector machine,3,39,27,12,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",0.5493827160493827,0.710406710840715,0.2115204536266561,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Penalized logistic regression,4,38,26,12,"{""model__C"": 0.01, ""model__penalty"": ""l1""}",0.5,0.6842105263157895,0.25396970522969736,0.3157894736842105,0.5,0.0,0.0,0.0,0.0
Random forest,4,38,26,12,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6153846153846154,0.8095813035431977,0.23156926166527805,0.6052631578947368,0.5769230769230769,0.7391304347826086,0.6538461538461539,0.6938775510204082,0.146303391191891
Gradient boosting,4,38,26,12,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.5993589743589743,0.8128545647112557,0.27604693211983156,0.5789473684210527,0.5128205128205128,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.02564102564102564
Support vector machine,4,38,26,12,"{""model__C"": 10.0, ""model__gamma"": 0.1}",0.6794871794871795,0.8207774858473594,0.19890232405962371,0.6842105263157895,0.5448717948717949,0.7058823529411765,0.9230769230769231,0.8,0.13592873654160803
Penalized logistic regression,5,38,26,12,"{""model__C"": 0.1, ""model__penalty"": ""l1""}",0.2692307692307692,0.5568499643344273,0.2552799372731378,0.39473684210526316,0.3333333333333333,0.5652173913043478,0.5,0.5306122448979592,-0.3169906809157639
Random forest,5,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.8782051282051281,0.9511717062261525,0.17833791395322776,0.7368421052631579,0.6955128205128205,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.391025641025641
Gradient boosting,5,38,26,12,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.8173076923076923,0.8989688247558645,0.15687256270465677,0.7894736842105263,0.7115384615384616,0.8,0.9230769230769231,0.8571428571428571,0.48238191061886604
Support vector machine,5,38,26,12,"{""model__C"": 10.0, ""model__gamma"": 0.01}",0.625,0.8139122359937798,0.21456551585097733,0.6842105263157895,0.5,0.6842105263157895,1.0,0.8125,0.0
